,CampusID,InstitutionID,MedianFamilyIncome,DebtNonCompleter,PredominantDegree,State,FirstGen,IndPerc,LoanPerc,MDEarning10,Control,NetPrice
1365,154493,189300,31898.9439,7700.0,3,IA,0.4592123769,0.7595092025,0.4244,40700.0,2,17090.0
1366,154518,189500,50041.008219999996,5500.0,3,IA,0.43364928909999995,0.5495207668,0.8262,35000.0,3,19404.0
1367,154527,189600,77455.30691,8750.0,3,IA,0.1757105943,0.0219244823,0.7086,43000.0,2,21439.0
1370,154572,731600,27173.86818,4623.0,1,IA,0.4601899196,0.4863764485,0.3573,29700.0,1,6324.0
1371,154590,190000,38572.76241,9500.0,3,IA,0.43732590530000004,0.408900084,0.8086,40900.0,2,17064.0
1372,154642,190100,25362.42799,3500.0,1,KS,0.4837872892,0.5081232493,0.3754,29100.0,1,5471.0
1373,154688,190300,54778.32939,8750.0,3,KS,0.3754940711,0.5512465374000001,0.7932,48800.0,2,19046.0
1374,154697,460800,27094.92182,5500.0,2,KS,0.4567712318,0.5948509485,0.1444,32200.0,1,7106.0
1375,154712,1025600,85588.98913,8250.0,3,KS,0.18215613379999998,0.0383693046,0.5670000000000001,39600.0,2,21468.0
1376,154721,190400,54587.73832999999,8750.0,3,KS,0.3177842566,0.10220994480000001,0.77,38100.0,2,19561.0
1377,154749,190500,56756.59186,,3,KS,0.22591362129999998,0.1614906832,0.7572,37900.0,2,19026.0
1378,154767,675501,17660.84041,4012.0,2,KS,0.5002891845,0.7547709923999999,0.8039,25200.0,3,20128.0
1379,154776,675500,17660.84041,4012.0,2,KS,0.5002891845,0.7547709923999999,0.8273,25200.0,3,19244.0
1380,154794,3066200,13414.10829,8981.0,2,KS,0.5434782609000001,0.8908045977,0.9515,29300.0,3,39180.0
1381,154800,190600,27660.45235,4500.0,2,KS,0.44568892649999997,0.45364238409999996,0.2515,30300.0,1,8053.0
1383,154855,190800,29054.9283,4750.0,3,KS,0.4773462783,0.6955958549,0.9138,31600.0,2,16590.0
1384,154907,190900,26928.2181,3500.0,1,KS,0.4577702703,0.4750558451,0.2417,31100.0,1,5782.0
1385,154925,191000,26104.30473,4750.0,1,KS,0.4768568353,0.26107445809999996,0.2904,29500.0,1,2863.0
1386,154934,191100,35889.89031,5500.0,2,KS,0.3720930233,0.37691237829999996,0.3166,31000.0,1,7132.0
1387,154952,190200,22748.593530000002,4500.0,2,KS,0.45034910780000004,0.5598684211,0.4619,32500.0,1,6142.0
1388,154970,833200,16199.973259999999,4750.0,1,KS,0.5251396648,0.6509433962,0.4786,19200.0,3,10826.0
1389,154998,191300,28209.51069,4976.0,2,KS,0.5166858458,0.4022346369,0.1211,31900.0,1,8360.0
1390,155007,191400,15950.82821,3750.0,2,KS,0.6054054054,0.6712062256999999,0.3129,23600.0,2,8346.0
1391,155025,192700,45001.01266,7898.0,3,KS,0.3590883824,0.2912621359,0.6477,35700.0,1,11602.0
1392,155052,526400,27555.16637,7779.0,1,KS,0.4959677419,0.567839196,0.64,28300.0,1,16049.0
1393,155061,191500,39935.02372,5500.0,3,KS,0.4086288683,0.5270935961,0.3813,37600.0,1,11045.0
1394,155070,191700,45955.72029,4250.0,3,KS,,0.2671232877,0.75,24300.0,2,10165.0
1395,155089,191800,40750.58331,14000.0,3,KS,0.4143897996,0.5470155356,0.7326,41500.0,2,17803.0
1396,155098,191600,25990.17448,4750.0,2,KS,0.48904469759999997,0.34917043740000003,0.4071,26900.0,1,5090.0
1397,155104,191900,30312.993430000002,3500.0,2,KS,0.5390334572,0.3119358074,0.1866,31400.0,1,5568.0
1398,155140,1043800,22558.65841,,2,KS,0.42701525049999994,0.31638418079999997,0.0,22800.0,1,3665.0
1400,155177,192000,57071.2583,7000.0,2,KS,0.30526315789999997,0.21339950370000002,0.8162,34000.0,2,15101.0
1401,155186,192100,30196.778619999997,5499.0,1,KS,0.46685275649999997,0.4180478821,0.3076,32200.0,1,5211.0
1402,155195,192300,30806.47088,4375.0,2,KS,0.4448790896,0.46228482,0.1335,31400.0,1,7422.0
1403,155201,192400,26661.9125,2250.0,1,KS,0.45507246380000005,0.3427471117,0.1411,24000.0,1,4008.0
1404,155210,824400,28124.16143,4390.0,2,KS,0.3973478939,0.5143929911999999,0.22,35800.0,1,10389.0
1405,155283,2361600,16751.92442,3500.0,1,MO,0.5287531807,0.7106347898,0.4997,22100.0,3,21749.0
